,pos,contig_id,proteins,origin,order,family,genus
175,175,Bacillus~phage~vB_BanS-Tsamsa,272,RefSeq-85,Caudovirales,Siphoviridae,
176,176,Bacillus~phage~vB_BceM_Bc431v3,238,RefSeq-85,Caudovirales,Myoviridae,Bc431virus
177,177,Bacillus~phage~vB_BhaS-171,67,RefSeq-85,,,
178,178,Bacillus~phage~vB_BtS_BMBtp3,76,RefSeq-85,Caudovirales,Siphoviridae,
179,179,Bacillus~virus~1,54,RefSeq-85,Caudovirales,Myoviridae,Svunavirus
180,180,Bacillus~virus~250,54,RefSeq-85,Caudovirales,Siphoviridae,Cecivirus
181,181,Bacillus~virus~AP50,31,RefSeq-85,,Tectiviridae,Betatectivirus
182,182,Bacillus~virus~Andromeda,79,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
183,183,Bacillus~virus~B103,17,RefSeq-85,Caudovirales,Podoviridae,Phi29virus
184,184,Bacillus~virus~BMBtp2,53,RefSeq-85,Caudovirales,Siphoviridae,Tp21virus
185,185,Bacillus~virus~Blastoid,79,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
186,186,Bacillus~virus~Curly,77,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
187,187,Bacillus~virus~Eoghan,75,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
188,188,Bacillus~virus~Finn,77,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
189,189,Bacillus~virus~G,675,RefSeq-85,Caudovirales,Myoviridae,
190,190,Bacillus~virus~GA1,35,RefSeq-85,Caudovirales,Podoviridae,Phi29virus
191,191,Bacillus~virus~Glittering,78,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
192,192,Bacillus~virus~IEBH,86,RefSeq-85,Caudovirales,Siphoviridae,Cecivirus
193,193,Bacillus~virus~Riggi,79,RefSeq-85,Caudovirales,Siphoviridae,Andromedavirus
194,194,Bacillus~virus~SPO1,206,RefSeq-85,Caudovirales,Myoviridae,Spo1virus
195,195,Bacillus~virus~Wbeta,53,RefSeq-85,Caudovirales,Siphoviridae,Wbetavirus
196,196,Bacillus~virus~phi29,27,RefSeq-85,Caudovirales,Podoviridae,Phi29virus
197,197,Bacteriophage~APSE-2,41,RefSeq-85,Caudovirales,Podoviridae,
198,198,Bacteriophage~Lily,74,RefSeq-85,Caudovirales,Siphoviridae,
199,199,Bacteroides~phage~B124-14,68,RefSeq-85,Caudovirales,Siphoviridae,
200,200,Bacteroides~phage~B40-8,46,RefSeq-85,Caudovirales,Siphoviridae,
201,201,Bdellovibrio~phage~phi1402,42,RefSeq-85,Caudovirales,Myoviridae,
202,202,Bdellovibrio~phage~phi1422,76,RefSeq-85,Caudovirales,Myoviridae,
203,203,Bdellovibrio~phage~phiMH2K,11,RefSeq-85,,Microviridae,Bdellomicrovirus
204,204,Bordetella~virus~BPP1,49,RefSeq-85,Caudovirales,Podoviridae,Bpp1virus
205,205,Brevibacillus~phage~Abouo,94,RefSeq-85,Caudovirales,Myoviridae,Abouovirus
206,206,Brevibacillus~phage~Davies,94,RefSeq-85,Caudovirales,Myoviridae,Abouovirus
207,207,Brevibacillus~phage~Jenst,178,RefSeq-85,Caudovirales,Siphoviridae,Jenstvirus
208,208,Brevibacillus~phage~Jimmer1,103,RefSeq-85,Caudovirales,Myoviridae,Jimmervirus
209,209,Brevibacillus~phage~Osiris,103,RefSeq-85,Caudovirales,Myoviridae,Jimmervirus
210,210,Brevibacillus~phage~Sundance,194,RefSeq-85,Caudovirales,Siphoviridae,
211,211,Brochothrix~phage~A9,199,RefSeq-85,Caudovirales,Myoviridae,
212,212,Brochothrix~phage~BL3,67,RefSeq-85,Caudovirales,Siphoviridae,
213,213,Brochothrix~phage~NF5,58,RefSeq-85,Caudovirales,Siphoviridae,
214,214,Brucella~phage~BiPBO1,86,RefSeq-85,,,
215,215,Brucella~phage~Pr,57,RefSeq-85,Caudovirales,Podoviridae,Prtbvirus
216,216,Brucella~phage~Tb,58,RefSeq-85,Caudovirales,Podoviridae,Prtbvirus
217,217,Burkholderia~phage~AH2,78,RefSeq-85,Caudovirales,Siphoviridae,
218,218,Burkholderia~phage~Bcep176,81,RefSeq-85,Caudovirales,Siphoviridae,
219,219,Burkholderia~phage~BcepB1A,73,RefSeq-85,Caudovirales,Myoviridae,
220,220,Burkholderia~phage~BcepGomr,75,RefSeq-85,Caudovirales,Siphoviridae,
221,221,Burkholderia~phage~BcepNazgul,73,RefSeq-85,Caudovirales,Siphoviridae,
222,222,Burkholderia~phage~JG068,49,RefSeq-85,Caudovirales,Podoviridae,
223,223,Burkholderia~phage~KL1,55,RefSeq-85,Caudovirales,Siphoviridae,Septima3virus
224,224,Burkholderia~phage~KL3,52,RefSeq-85,Caudovirales,Myoviridae,
225,225,Burkholderia~phage~KS10,49,RefSeq-85,Caudovirales,Myoviridae,
226,226,Burkholderia~phage~KS14,44,RefSeq-85,Caudovirales,Myoviridae,
227,227,Burkholderia~phage~KS5,46,RefSeq-85,Caudovirales,Myoviridae,
228,228,Burkholderia~phage~KS9,50,RefSeq-85,Caudovirales,Siphoviridae,
229,229,Burkholderia~phage~ST79,49,RefSeq-85,Caudovirales,Myoviridae,
230,230,Burkholderia~virus~Bcep1,71,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
231,231,Burkholderia~virus~Bcep22,77,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
232,232,Burkholderia~virus~Bcep43,65,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
233,233,Burkholderia~virus~Bcep781,66,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
234,234,Burkholderia~virus~BcepC6B,46,RefSeq-85,Caudovirales,Podoviridae,Bpp1virus
235,235,Burkholderia~virus~BcepF1,127,RefSeq-85,Caudovirales,Myoviridae,Pbunavirus
236,236,Burkholderia~virus~BcepMu,53,RefSeq-85,Caudovirales,Myoviridae,Bcepmuvirus
237,237,Burkholderia~virus~BcepNY3,70,RefSeq-85,Caudovirales,Myoviridae,Bcep78virus
238,238,Burkholderia~virus~Bcepil02,76,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
239,239,Burkholderia~virus~Bcepmigl,75,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
240,240,Burkholderia~virus~DC1,73,RefSeq-85,Caudovirales,Podoviridae,Bcep22virus
241,241,Burkholderia~virus~phi1026b,83,RefSeq-85,Caudovirales,Siphoviridae,E125virus
242,242,Burkholderia~virus~phi52237,47,RefSeq-85,Caudovirales,Myoviridae,P2virus
243,243,Burkholderia~virus~phi6442,71,RefSeq-85,Caudovirales,Siphoviridae,E125virus
244,244,Burkholderia~virus~phiE122,50,RefSeq-85,Caudovirales,Myoviridae,P2virus
245,245,Burkholderia~virus~phiE125,71,RefSeq-85,Caudovirales,Siphoviridae,E125virus
246,246,Burkholderia~virus~phiE202,48,RefSeq-85,Caudovirales,Myoviridae,P2virus
247,247,Burkholderia~virus~phiE255,55,RefSeq-85,Caudovirales,Myoviridae,Bcepmuvirus
248,248,Campylobacter~phage~CP30A,162,RefSeq-85,Caudovirales,Myoviridae,Cp8virus
249,249,Campylobacter~phage~PC14,171,RefSeq-85,,,
250,250,Campylobacter~virus~CP21,257,RefSeq-85,Caudovirales,Myoviridae,Cp220virus
251,251,Campylobacter~virus~CP220,194,RefSeq-85,Caudovirales,Myoviridae,Cp220virus
252,252,Campylobacter~virus~CPX,149,RefSeq-85,Caudovirales,Myoviridae,Cp8virus
253,253,Campylobacter~virus~CPt10,196,RefSeq-85,Caudovirales,Myoviridae,Cp220virus
254,254,Campylobacter~virus~NCTC12673,166,RefSeq-85,Caudovirales,Myoviridae,Cp8virus
255,255,Caulobacter~phage~CcrColossus,452,RefSeq-85,Caudovirales,Siphoviridae,
256,256,Caulobacter~phage~Cr30,286,RefSeq-85,Caudovirales,Myoviridae,
257,257,Caulobacter~phage~Percy,55,RefSeq-85,,,
258,258,Caulobacter~phage~phiCb5,4,RefSeq-85,,Leviviridae,
259,259,Caulobacter~virus~Karma,357,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
260,260,Caulobacter~virus~Magneto,351,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
261,261,Caulobacter~virus~Rogue,354,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
262,262,Caulobacter~virus~Swift,347,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
263,263,Caulobacter~virus~phiCbK,342,RefSeq-85,Caudovirales,Siphoviridae,Phicbkvirus
264,264,Celeribacter~phage~P12053L,56,RefSeq-85,Caudovirales,,
265,265,Cellulophaga~phage~phi10:1,106,RefSeq-85,Caudovirales,Siphoviridae,
266,266,Cellulophaga~phage~phi12:1,64,RefSeq-85,Caudovirales,Siphoviridae,Cba181virus
267,267,Cellulophaga~phage~phi12:2,13,RefSeq-85,,Microviridae,
268,268,Cellulophaga~phage~phi12a:1,13,RefSeq-85,,Microviridae,
269,269,Cellulophaga~phage~phi13:2,127,RefSeq-85,Caudovirales,Podoviridae,
270,270,Cellulophaga~phage~phi14:2,133,RefSeq-85,Caudovirales,Podoviridae,
271,271,Cellulophaga~phage~phi17:1,65,RefSeq-85,Caudovirales,Siphoviridae,Cba181virus
272,272,Cellulophaga~phage~phi17:2,198,RefSeq-85,Caudovirales,Podoviridae,Cba41virus
273,273,Cellulophaga~phage~phi18:1,65,RefSeq-85,Caudovirales,Siphoviridae,Cba181virus
274,274,Cellulophaga~phage~phi18:3,123,RefSeq-85,Caudovirales,Podoviridae,
275,275,Cellulophaga~phage~phi19:1,114,RefSeq-85,Caudovirales,Siphoviridae,
276,276,Cellulophaga~phage~phi19:3,129,RefSeq-85,Caudovirales,Podoviridae,
277,277,Cellulophaga~phage~phi38:1,101,RefSeq-85,Caudovirales,Podoviridae,
278,278,Cellulophaga~phage~phi39:1,48,RefSeq-85,Caudovirales,Siphoviridae,
279,279,Cellulophaga~phage~phi46:1,54,RefSeq-85,Caudovirales,Siphoviridae,
280,280,Cellulophaga~phage~phi46:3,121,RefSeq-85,Caudovirales,Podoviridae,
281,281,Cellulophaga~phage~phi48:2,29,RefSeq-85,,,
282,282,Cellulophaga~phage~phi4:1,197,RefSeq-85,Caudovirales,Podoviridae,Cba41virus
283,283,Cellulophaga~phage~phiSM,59,RefSeq-85,Caudovirales,Myoviridae,
284,284,Cellulophaga~phage~phiST,104,RefSeq-85,Caudovirales,Siphoviridae,Cbastvirus
285,285,Chimpanzee~faeces~associated~microphage~1,4,RefSeq-85,,,
286,286,Chimpanzee~faeces~associated~microphage~2,5,RefSeq-85,,,
287,287,Chimpanzee~faeces~associated~microphage~3,4,RefSeq-85,,,
288,288,Chlamydia~phage~2,8,RefSeq-85,,Microviridae,Chlamydiamicrovirus
289,289,Chlamydia~phage~4,8,RefSeq-85,,Microviridae,
290,290,Chlamydia~virus~CPAR39,6,RefSeq-85,,Microviridae,Chlamydiamicrovirus
291,291,Chlamydia~virus~Chp1,12,RefSeq-85,,Microviridae,Chlamydiamicrovirus
292,292,Citrobacter~phage~CR44b,57,RefSeq-85,Caudovirales,Podoviridae,
293,293,Citrobacter~phage~CR8,57,RefSeq-85,Caudovirales,Podoviridae,
294,294,Citrobacter~phage~CVT22,83,RefSeq-85,Caudovirales,Podoviridae,
295,295,Citrobacter~phage~IME-CF2,263,RefSeq-85,Caudovirales,Myoviridae,
296,296,Citrobacter~phage~Margaery,280,RefSeq-85,,,
297,297,Citrobacter~phage~Merlin,303,RefSeq-85,Caudovirales,Myoviridae,Moonvirus
